"Gene Symbol"	"Gene Name"
"ZFX"	"Zinc finger protein, X-linked"
"ZNF133"	"Zinc finger protein 133"
"MLL"	"Myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila)"
"DSCR1L1"	"Down syndrome critical region gene 1-like 1"
"WNT5A"	"Wingless-type MMTV integration site family, member 5A"
"VHL"	"Von Hippel-Lindau tumor suppressor"
"TCF3"	"Transcription factor 3 (E2A immunoglobulin enhancer binding factors E12/E47)"
"TCN2"	"Transcobalamin II; macrocytic anemia"
"TIMP1"	"TIMP metallopeptidase inhibitor 1"
"SERPINA7"	"Serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 7"
"THBD"	"Thrombomodulin"
"EPHA2"	"EPH receptor A2"
"RBM5"	"RNA binding motif protein 5"
"SFRS10"	"Splicing factor, arginine/serine-rich 10 (transformer 2 homolog, Drosophila)"
"SLC16A4"	"Solute carrier family 16, member 4 (monocarboxylic acid transporter 5)"
"SMOX"	"Spermine oxidase"
"RBM3"	"RNA binding motif (RNP1, RRM) protein 3"
"C3AR1"	"Complement component 3a receptor 1"
"MLF2"	"Myeloid leukemia factor 2"
"ABCC5"	"ATP-binding cassette, sub-family C (CFTR/MRP), member 5"
"DAB2"	"Disabled homolog 2, mitogen-responsive phosphoprotein (Drosophila)"
"POLRMT"	"**Polymerase (RNA) mitochondrial (DNA directed)"
"DECR1"	"2,4-dienoyl CoA reductase 1, mitochondrial"
"MT1M"	"Metallothionein 1M"
"TMEM97"	"Transmembrane protein 97"
"PPFIA1"	"Protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 1"
"IGF2"	"Insulin-like growth factor 2 (somatomedin A)"
"BIRC3"	"Baculoviral IAP repeat-containing 3"
"ELAVL1"	"ELAV (embryonic lethal, abnormal vision, Drosophila)-like 1 (Hu antigen R)"
"RBM4"	"RNA binding motif protein 4"
"ZNF148"	"Zinc finger protein 148"
"TP53BP2"	"Tumor protein p53 binding protein, 2"
"FRY"	"Furry homolog (Drosophila)"
"OSBPL3"	"Oxysterol binding protein-like 3"
"MAP4K2"	"Mitogen-activated protein kinase kinase kinase kinase 2"
"ABCB10"	"ATP-binding cassette, sub-family B (MDR/TAP), member 10"
	
"EDNRB"	"Endothelin receptor type B"
"EDG1"	"Endothelial differentiation, sphingolipid G-protein-coupled receptor, 1"
"MAPK4"	"Mitogen-activated protein kinase 4"
"SLC1A3"	"Solute carrier family 1 (glial high affinity glutamate transporter), member 3"
