_record_id;_geometry;_latitude;_longitude
8e254894-faa0-4412-9f48-896fbf2aa254;"SRID=4326;POINT(-78.494704999 -0.211510140616)";-0.21151;-78.494704
b94c9841-b42e-4b59-a9a0-d0d5115ddf72;"SRID=4326;POINT(-78.55545 -0.318941)";-0.318941;-78.55545 
3496a640-d6d8-4092-8538-68fde9689a4c;"SRID=4326;POINT(-78.4494933486 -0.318335333302)";-0.31833;-78.449493
a7a90ef0-3b32-4aef-b4c8-5d0307ffb039;"SRID=4326;POINT(-78.4549861774 -0.313592254058)";-0.31359;-78.454986
9c5c2c59-9e47-4262-abc2-438b96e160b6;"SRID=4326;POINT(-78.4897073731 -0.309922375901)";-0.30992;-78.489707
164f6cbc-0dca-4ab9-bcb3-31d4fb5672c3;"SRID=4326;POINT(-78.4651266038 -0.307929858842)";-0.30792;-78.465126
8cebc81e-f7c4-4cc3-9d0c-95ac49daa9c0;"SRID=4326;POINT(-78.4717774764 -0.306873418972)";-0.30687;-78.471777
9fda5a54-2281-4e0e-9ef0-379c7700766b;"SRID=4326;POINT(-78.4450844676 -0.306146247313)";-0.30614;-78.445084
5f2718c4-ec12-40eb-84f9-5573f79e4734;"SRID=4326;POINT(-78.4564513341 -0.305837095278)";-0.30583;-78.456451
0997a25f-e17d-4a69-86f4-11f5c055ce2a;"SRID=4326;POINT(-78.4871247411 -0.305607099129)";-0.30560;-78.487124
c9d86865-5072-4a0b-8b85-0524b549444b;"SRID=4326;POINT(-78.4469781071 -0.304651910989)";-0.30465;-78.446978
cdd6d215-a0bf-4222-9608-6b2a733c2ab5;"SRID=4326;POINT(-78.552963 -0.302072)";-0.30207;-78.552963
0a07d0f0-16c0-4268-a436-5e55be9323a1;"SRID=4326;POINT(-78.4290797263 -0.301046066617)";-0.30104;-78.429079
0ac6f3eb-7113-49bc-8a35-749f4fe3e852;"SRID=4326;POINT(-78.4512002394 -0.295668981)";-0.29566;-78.451200
4a1652b7-d171-4d1b-8bef-d46ccf765713;"SRID=4326;POINT(-78.4521718696 -0.284309971331)";-0.28430;-78.452171
5f0132ef-6670-43a0-ab50-5adc9db4cadd;"SRID=4326;POINT(-78.5311304033 -0.271767439131)";-0.27176;-78.531130
f42849b7-ea5a-4494-83cb-ef2c8a21f968;"SRID=4326;POINT(-78.5403518379 -0.269983454797)";-0.26998;-78.540351
820828dd-b4e9-4dc2-b032-bd371480540c;"SRID=4326;POINT(-78.559952 -0.269255)";-0.26925;-78.559952
6f313737-f674-4bb9-be2d-41231147d897;"SRID=4326;POINT(-78.4593280032 -0.267561781978)";-0.26756;-78.459328
0247eb38-0829-4b3a-8058-72a1567793ce;"SRID=4326;POINT(-78.4724560753 -0.267557423436)";-0.26755;-78.472456
c2d63774-f0eb-48ee-8c4c-19b3d2941358;"SRID=4326;POINT(-78.542252183 -0.259162197914)";-0.25916;-78.542252
6ce10ed6-61e1-40c3-9ce2-b8df1046fc43;"SRID=4326;POINT(-78.5226274654 -0.248368088897)";-0.24836;-78.522627
0cf4e9a1-cba6-476a-86fa-c87fa0534ec3;"SRID=4326;POINT(-78.5023355484 -0.241868820658)";-0.24186;-78.502335
a90ef49f-e3db-4f02-8738-2281405d45e9;"SRID=4326;POINT(-78.525696 -0.239627)";-0.23962;-78.525696
c6fba796-36ec-48e1-aa2e-ef2e3b0914d3;"SRID=4326;POINT(-78.347343 -0.232497)";-0.2324;-78.347343
1b6aeb94-28d2-415a-a8ee-4d0543ea2edf;"SRID=4326;POINT(-78.4814096242 -0.227626075092)";-0.22762;-78.481409
35a0aa19-1b82-4731-8929-1cc0188f522a;"SRID=4326;POINT(-78.5077634175 -0.225156610832)";-0.22515;-78.507763
81a49ffd-5a7f-48dd-9d33-af05bf1c0a7d;"SRID=4326;POINT(-78.3454386902 -0.224582332231)";-0.22458;-78.345438
0419ccda-6ff8-47ee-afc2-ad0cf1abd00d;"SRID=4326;POINT(-78.406570293 -0.221466764669)";-0.22146;-78.406570
3eab3ae8-f2d1-49a1-8a3c-216ca121883c;"SRID=4326;POINT(-78.5156000778 -0.221235425868)";-0.22123;-78.515600
4ffe5e7b-73dc-4411-a43a-12bcae656d88;"SRID=4326;POINT(-78.4472238645 -0.21931531368)";-0.21931;-78.447223
02a902ca-564b-49f0-a047-243d14201a02;"SRID=4326;POINT(-78.4848287702 -0.218574358849)";-0.21857;-78.484828
d08d9dd7-c7d4-4875-8e71-be72b41dbe43;"SRID=4326;POINT(-78.4940696508 -0.218296081686)";-0.21829;-78.494069
9c0bac78-ac5d-4d42-af9b-499154f9562b;"SRID=4326;POINT(-78.4381318465 -0.217902470365)";-0.21790;-78.438131
b4a590a4-0eca-4730-8966-2861f6bcbd1c;"SRID=4326;POINT(-78.4896466882 -0.217327703722)";-0.21732;-78.489646
de78141b-ee88-4074-a74d-22c8c146a139;"SRID=4326;POINT(-78.4896798804 -0.217281208182)";-0.21728;-78.489679
f58aee47-ad3d-4fd4-ad92-a117625a6499;"SRID=4326;POINT(-78.3884234726 -0.215695028149)";-0.21569;-78.388423
594dafa1-77c8-4115-8876-f07a31d75f06;"SRID=4326;POINT(-78.4010881931 -0.215258836992)";-0.21525;-78.401088
5edfb3b1-7275-4e2b-9630-5a755ab2fa85;"SRID=4326;POINT(-78.4248713404 -0.215245426042)";-0.21524;-78.424871
f755162b-e771-4fbb-9996-7988701dac49;"SRID=4326;POINT(-78.4255804494 -0.214704294182)";-0.21470;-78.425580
2baf4fba-9092-4d49-b670-7bf4fa47dba6;"SRID=4326;POINT(-78.5013521835 -0.21355363455)";-0.21355;-78.501352
